publication_id,subteam,authors,title,type,date,project_year,doi,venue,short_title,status,scope
51,Direct,51,Isolated power systems integration,Other,11/10/2024,2,,"Arctic Remote Energy Networks Academy - Iqaluit, Nunavut, Canada; Nuuk, Greenland",Isolated Power Systems (Iqaluit/Greenland),Complete,
52,Direct,51,De-risking energy project operations and maintenance with collaborators,Conference,11/29/2024,2,,Indigenous Clean Energy: The Gathering,De-Risking Clean Energy O&M,Complete,
53,Direct,51,Engagement with Canadian Indigenous Communities,Conference,1/22/2025,2,,Nordic Hydrogen Valleys,Engaging Indigenous Communities on Energy,Complete,
54,Direct,63,Transdisciplinary Research Teams Co-Produce Essential Climate Knowledge and Solutions,Other,3/1/2025,3,,"3 Minute Thesis Competition, UWinnipeg",Co-Producing Climate Knowledge (3MT),Complete,
55,Direct,106;55,"Energy Efficiency Programming and Indigenous Rights in Manitoba, Canada",Conference,3/5/2025,3,,Manitoba Planning Association,Energy Efficiency & Indigenous Rights (MB),Complete,
56,Direct,51,The Old Crow Solar Project and Best Practices for Clean Energy Projects,Conference,3/12/2025,3,,Assembly of First Nations Natural Resources National Forum,Old Crow Solar: Best Practices,Complete,
57,Direct,57,Energy Governance in the North,Conference,3/25/2025,3,,Pembina Renewables in Remote Communities,Energy Governance in the North,Complete,
58,Direct,,Yukon Regional Discussion,Conference,3/25/2025,3,,Pembina Renewables in Remote Communities,Yukon Regional Discussion,Complete,
59,Direct,51,Utility Panel Session: Integrating Renewable Energy,Conference,3/25/2025,3,,Pembina Renewables in Remote Communities,Utility Panel: Integrating Renewables,Complete,
60,Direct,,Capacity Building & Empowering Community Involvement in the Clean Energy Transition,Conference,3/25/2025,3,,Pembina Renewables in Remote Communities,Capacity Building for Community Energy,Complete,
61,Direct,,Movie screening: Old Crow a Philosophy,Conference,3/25/2025,3,,Pembina Renewables in Remote Communities,Film: Old Crow a Philosophy,Complete,
62,Direct,54,"Community Engagement and the Development of the Carbon Conversion Technology: The Case of Hamilton, Ontario (Canada)",Conference,3/28/2025,3,,American Association of Geographers,Community Engagement & Carbon Conversion,Complete,
63,Direct,67,When a fish is not just a fish: sharing country food as communicative practice in co-management,Journal,6/17/2025,3,10.1080/1088937X.2025.2477750,Polar Geography,Country Food & Co-Management,Complete,
64,Direct,57,Place-based approaches to develop the foundations and diversities of energy geographies,Journal,8/21/2025,3,10.1177/20438206251371225,Dialogues in Human Geography,Place-Based Energy Geographies,Complete,
65,Direct,59;49;57;54;53;61;91;52,From Capture to Conversion: A Critical Review of the Development of Carbon Capture Conversion and Utilization Technology,Journal,9/1/2025,3,10.3167/ares.2025.160109,Environment and Society,From Capture to Conversion (Review),Complete,
66,Discover;Direct,49;54;1,Supporting the City of Hamilton's community energy and emissions plan,Other,8/14/2024,2,,,,Complete,
67,Discover,117;3,Advancing electrocatalytic CO2 reduction: key strategies for scaling up to industrial applications,Journal,6/23/2025,3,10.1039/D5NR01624J,Nanoscale,,Complete,Scaling electrolyzer
68,Discover,117;18;3,Microdomain tandem catalysis for efficient CO2-to-C2+ conversion at industrial current densities,Journal,9/8/2025,3,10.1016/j.jcis.2025.138975,Journal of Colloid and Interface Science,,Complete,Catalyst design
69,Discover,,"Low-emission cement clinker precursor production, enabled by electrolytic extraction of calcium from waste cement",Journal,10/21/2025,3,10.1038/s41467-025-64339-5,Nature communications,,Complete,
70,Discover,46;17;21;42;12;109;1;9;10,Direct Electrosynthesis of C3+ Hydrocarbons from CO2 via Size Controlled Nickel Nanoislands on a Carbon Support,Journal,10/24/2025,3,10.1021/jacs.5c12052,Journal of the American Chemical Society,,Complete,
71,Discover,117;37;18;4;10;3,Hydroxyl-mediated interfacial oxophilicity engineering for efficient CO2-to-C2+ oxygenates conversion at industrial current densities,Journal,10/28/2025,3,10.1016/j.apcatb.2025.126133,Applied Catalysis B: Environment and Energy,,Complete,Catalyst design
72,Discover,46;48;109;130;10;9,Co-electroreduction of CO and glyoxal promotes C3 products,Journal,11/4/2024,3,10.1038/s41557-025-01985-8,Nature Chemistry,,Complete,Optimizing C2+ production
73,Discover,117;18;3,Grain Boundary-Engineered Cu2O for Selective CO2-to-Acetate Conversion,Journal,11/20/2025,3,10.1021/acs.energyfuels.5c05105,Energy & Fuels,,Complete,Optimizing C2+ production
74,Discover,46;130;109;19;18;9;10,Accelerated discovery of multi-element CO2 electrocatalysts with human-in-the-loop,Journal,11/21/2024,3,10.1016/j.joule.2025.102213,Joule,,Complete,Catalyst design
75,Discover,129;42;109;1;10,Efficient amino-acid-based reactive capture of CO2 via nickel molecular catalyst,Journal,11/24/2025,3,10.1038/s41467-025-65331-9,Nature communications,,Complete,Catalyst design
76,Discover,,Confinement Reconstruction Unlocks Stable Ru Single Atom-Doped IrOx Anodes for Long-Term High-Rate CO2 Electrolysis,Journal,1/5/2026,3,10.1021/acscatal.5c06756,ACS Catalysis,,Complete,
